"Name","PCA_PC1","PCA_PC2","PCA_PC3","PTModel_a","PTModel_b","PTModel_c","Ro16_DTF","Ro17_DTF","Su16_DTF","Su17_DTF","Su18_DTF","Us18_DTF","In16_DTF","In17_DTF","Ba16_DTF","Ba17_DTF","Ne16_DTF","Ne17_DTF","Mo16_DTF","Mo17_DTF","Sp16_DTF","Sp17_DTF","It16_DTF","It17_DTF","Su17_Tf","Ba17_Tf","It17_Tf","Su17_Tb","Ba17_Tb","It17_Tb","Su17_Pf","Ba17_Pf","It17_Pf","Su17_Pc","Ba17_Pc","It17_Pc"
"ILL_5945_AGL",-5.7653126863827,0.00108666764326244,0.875718145463429,-0.0196909161993515,0.000453155121530744,0.00221171182217481,44.6666666666667,39,45,41.3333333333333,42,52,55.3333333333333,68,76.6666666666667,68.6666666666667,96.3333333333333,107.666666666667,101,92,97,101,113.666666666667,120,2137.7,2078.1,2305.43333333333,-35.1262589373229,-10.2347157170037,-9.25857676718723,430.6,437.466666666667,433.166666666667,5.686265572769,4.45693239205159,6.60826545830706
"ILL_6002_AGL",-7.05858591352253,2.5664519302534,0.21496977437002,-0.015005494318884,0.000712459710795806,0.00156302238199855,43.3333333333333,45,47,47,42.6666666666667,52,53.6666666666667,54,54.6666666666667,60,85.3333333333333,96,101,84.3333333333333,97,93.6666666666667,109,106.5,1420.83333333333,1354.2,1327.3,-14.2592849495237,-3.07070259545816,-2.63193466000461,647.6,669.6,588.3,2.44390413303332,-0.291026802062398,4.49510233435511
"ILL_618_AGL",-0.22649989533005,-0.947221241278848,-1.48981815611857,-0.0226886972021371,0.000468460808480405,0.0022895875887102,44.6666666666667,43.3333333333333,47.3333333333333,46.6666666666667,43,58,82,72,76.6666666666667,82,107.333333333333,120.666666666667,126,119,115,126.666666666667,135,140.666666666667,2173.16666666667,2120.33333333333,2113.83333333333,-30.255813761825,-5.32972284655812,-4.3522290851751,440.166666666667,444.833333333333,418.566666666667,6.69721594605289,5.4695866276804,7.61793793483226
"ILL_6182_AGL",-1.85189438623875,-0.531863174367913,1.11297788356469,-0.0196391067441825,0.000274830416614088,0.00230511610843858,44.3333333333333,43.6666666666667,49,47.3333333333333,43.3333333333333,52.3333333333333,NA,75,83,81,114,119.666666666667,108,99.6666666666667,109,113,123.333333333333,129.333333333333,3814.93333333333,3358.4,3807.33333333333,-63.5783433906236,-20.8025389586693,-19.125056431926,449.1,400.933333333333,413.833333333333,6.64793810048967,5.93258042559949,7.18445635665731
"ILL_6211_AGL",-5.81578858038517,3.15586320502756,0.454254351760024,-0.0143353877234848,0.000642615610023463,0.00154586105012304,46.3333333333333,45.6666666666667,49.3333333333333,46.5,45.6666666666667,52,58,55,59.6666666666667,60,91.3333333333333,94.3333333333333,101,85,97,96,113.666666666667,114.333333333333,1508.85,1421.06666666667,1548.7,-16.4219091769508,-4.15346870856621,-3.67235339608054,626.15,636.466666666667,632.133333333333,2.7468980124562,0.252693465524966,4.61755142265462
"ILL_624_AGL",2.20843518843039,0.163262033229832,-0.166918186300835,-0.0197562569122338,0.000382710972640678,0.00209937440561546,47.6666666666667,46.3333333333333,51.3333333333333,51.3333333333333,46.3333333333333,61.3333333333333,85,NA,86.6666666666667,83.6666666666667,127.5,121.333333333333,130,127,115.666666666667,125,134,142.666666666667,2714.23333333333,2460.73333333333,2631.2,-36.6952400692219,-8.71901196485734,-7.62190498037245,493.8,456.066666666667,466,6.54847206148769,5.45468629859472,7.36881138365741
"ILL_6821_AGL",0.0116102992320506,-2.25357018470392,2.26349867901906,-0.0207764931048513,0.000180116673610184,0.00248443761119751,43.6666666666667,44.6666666666667,47.6666666666667,47,42.3333333333333,53,NA,NA,NA,NA,129.333333333333,127.333333333333,119,106,111,114.333333333333,123.333333333333,134,5859.16666666667,6043.2,5928.53333333333,-106.725002467188,-36.3782013457683,-33.6195032625754,418.133333333333,438,390.9,7.22443632646508,6.78944853011619,7.55067717372675
"ILL_6853_AGL",0.40392595750732,-0.148336974955016,1.80125408047403,-0.0181023949062663,0.00021421429018847,0.00220830850381165,49,45,51,49.3333333333333,45,53.6666666666667,NA,NA,80,97,128.666666666667,126.666666666667,116,106,111,111.666666666667,127.666666666667,132.666666666667,4869,4917.65,4952.4,-81.4668899528001,-28.8916235710356,-26.8298484188095,467.5,475.9,442.5,6.67444359556949,6.09242086690076,7.11096064207104
"ILL_7089_AGL",-0.317920203997754,-1.83845615929743,-1.38625125188824,-0.0237967961703435,0.000495187130771283,0.00236495418588766,44,41.3333333333333,47.3333333333333,45.6666666666667,42.6666666666667,53.3333333333333,NA,69.3333333333333,76,83,122,121.333333333333,130,120,118.666666666667,125,131.333333333333,140,2060.56666666667,2080.46666666667,1980.6,-28.8354953817307,-4.47850870228909,-3.5233327540757,426.733333333333,446.666666666667,400.766666666667,6.77491272889946,5.51859968809841,7.71714750950024
"ILL_7558_AGL",-5.70357772699761,3.00576758799727,0.0641246483416203,-0.0149310823454035,0.00061995399408683,0.00161529312348256,46,45.6666666666667,49.3333333333333,48.3333333333333,43,54,56,55,57.6666666666667,61.6666666666667,91,95,101,90.3333333333333,97,95.6666666666667,113.666666666667,117.333333333333,1638,1489.6,1635.6,-17.8644496983667,-4.57637508583789,-4.05527412064068,628.233333333333,612.933333333333,615.266666666667,3.21787083884431,0.91505414852046,4.9449833565872
